"slidemap","matrix","x","y","positive_tumor_cells","staining_intensity","spot_quality","sample_predect","abcode","pic","positive_tumor_cells_new"
"pko.hbn.1a.65",36,11,13,"0%","Neg (-)","null","WP1_111.TPKo",65,"32_36_11_13_4176.jpg","0%"
"pko.hbn.1a.65",36,11,5,">0% and <5%","Moderate (++)","null","WP1_45.TPKo",65,"32_36_11_5_4404.jpg","0-5%"
"pko.hbn.1a.65",36,11,6,">30%","Weak (+)","null","WP1_54.TPKo",65,"32_36_11_6_4259.jpg","40-69%"
"pko.hbn.1a.65",36,11,8,"16-30%","Weak (+)","null","WP1_64.TPKo",65,"32_36_11_8_4248.jpg","16-39%"
"pko.hbn.1a.65",36,12,1,"5-15%","Weak (+)","null","WP1_6.TPKo",65,"32_36_12_1_4340.jpg","5-15%"
"pko.hbn.1a.65",36,12,10,">0% and <5%","Strong (+++)","null","WP1_83.TPKo",65,"32_36_12_10_4222.jpg","0-5%"
"pko.hbn.1a.65",36,12,12,">0% and <5%","Strong (+++)","null","WP1_102.TPKo",65,"32_36_12_12_4196.jpg","0-5%"
"pko.hbn.1a.65",36,12,13,">0% and <5%","Strong (+++)","null","WP1_112.TPKo",65,"32_36_12_13_4177.jpg","0-5%"
"pko.hbn.1a.65",36,12,3,">30%","Moderate (++)","Not representative","WP1_26.TPKo",65,"32_36_12_3_4306.jpg","40-69%"
"pko.hbn.1a.65",36,12,4,">30%","Moderate (++)","null","WP1_36.TPKo",65,"32_36_12_4_4293.jpg","40-69%"
"pko.hbn.1a.65",36,12,5,">0% and <5%","Moderate (++)","null","WP1_45.TPKo",65,"32_36_12_5_4274.jpg","0-5%"
"pko.hbn.1a.65",36,12,8,">30%","Weak (+)","null","WP1_64.TPKo",65,"32_36_12_8_4245.jpg","40-69%"
"pko.hbn.1a.65",36,14,1,"0%","Neg (-)","null","WP1_7.TPKo",65,"32_36_14_1_4341.jpg","0%"
"pko.hbn.1a.65",36,14,10,"0%","Neg (-)","null","WP1_84.TPKo",65,"32_36_14_10_4220.jpg","0%"
"pko.hbn.1a.65",36,14,12,"0%","Neg (-)","null","WP1_103.TPKo",65,"32_36_14_12_4189.jpg","0%"
"pko.hbn.1a.65",36,14,13,">0% and <5%","Strong (+++)","null","WP1_112.TPKo",65,"32_36_14_13_4174.jpg","0-5%"
"pko.hbn.1a.65",36,14,3,"0%","Neg (-)","null","WP1_27.TPKo",65,"32_36_14_3_4305.jpg","0%"
"pko.hbn.1a.65",36,14,4,">0% and <5%","Moderate (++)","null","WP1_36.TPKo",65,"32_36_14_4_4290.jpg","0-5%"
"pko.hbn.1a.65",36,14,5,"5-15%","Moderate (++)","null","WP1_46.TPKo",65,"32_36_14_5_4272.jpg","5-15%"
"pko.hbn.1a.65",36,14,6,">30%","Moderate (++)","null","WP1_55.TPKo",65,"32_36_14_6_4402.jpg","40-69%"
"pko.hbn.1a.65",36,14,8,">30%","Weak (+)","null","WP1_65.TPKo",65,"32_36_14_8_4246.jpg","40-69%"
"pko.hbn.1a.65",36,15,1,"0%","Neg (-)","null","WP1_7.TPKo",65,"32_36_15_1_4342.jpg","0%"
"pko.hbn.1a.65",36,15,11,"0%","Neg (-)","null","WP1_94.TPKo",65,"32_36_15_11_4203.jpg","0%"
"pko.hbn.1a.65",36,15,12,"0%","Neg (-)","null","WP1_103.TPKo",65,"32_36_15_12_4188.jpg","0%"
"pko.hbn.1a.65",36,15,2,">0% and <5%","Moderate (++)","null","WP1_17.TPKo",65,"32_36_15_2_4323.jpg","0-5%"
"pko.hbn.1a.65",36,15,3,"0%","Neg (-)","null","WP1_27.TPKo",65,"32_36_15_3_4303.jpg","0%"
"pko.hbn.1a.65",36,15,4,">0% and <5%","Strong (+++)","null","WP1_37.TPKo",65,"32_36_15_4_4289.jpg","0-5%"
"pko.hbn.1a.65",36,15,5,">30%","Moderate (++)","null","WP1_46.TPKo",65,"32_36_15_5_4400.jpg","40-69%"
"pko.hbn.1a.65",36,15,6,">30%","Moderate (++)","null","WP1_56.TPKo",65,"32_36_15_6_4257.jpg","40-69%"
"pko.hbn.1a.65",36,15,8,">30%","Weak (+)","null","WP1_65.TPKo",65,"32_36_15_8_4249.jpg","40-69%"
"pko.hbn.1a.65",36,15,9,">0% and <5%","Strong (+++)","null","WP1_75.TPKo",65,"32_36_15_9_4235.jpg","0-5%"
"pko.hbn.1a.65",36,16,1,">30%","Weak (+)","null","WP1_8.TPKo",65,"32_36_16_1_4338.jpg","40-69%"
"pko.hbn.1a.65",36,16,10,"5-15%","Strong (+++)","null","WP1_85.TPKo",65,"32_36_16_10_4219.jpg","5-15%"
"pko.hbn.1a.65",36,16,11,"0%","Neg (-)","null","WP1_94.TPKo",65,"32_36_16_11_4204.jpg","0%"
"pko.hbn.1a.65",36,16,12,"0%","Neg (-)","null","WP1_104.TPKo",65,"32_36_16_12_4192.jpg","0%"
"pko.hbn.1a.65",36,16,2,">0% and <5%","Strong (+++)","null","WP1_18.TPKo",65,"32_36_16_2_4321.jpg","0-5%"
"pko.hbn.1a.65",36,16,3,"0%","Neg (-)","null","WP1_28.TPKo",65,"32_36_16_3_4304.jpg","0%"
"pko.hbn.1a.65",36,16,4,">0% and <5%","Strong (+++)","null","WP1_37.TPKo",65,"32_36_16_4_4291.jpg","0-5%"
"pko.hbn.1a.65",36,16,6,">30%","Moderate (++)","null","WP1_56.TPKo",65,"32_36_16_6_4256.jpg","40-69%"
"pko.hbn.1a.65",36,16,8,"16-30%","Weak (+)","null","WP1_66.TPKo",65,"32_36_16_8_4374.jpg","16-39%"
"pko.hbn.1a.65",36,16,9,">0% and <5%","Strong (+++)","null","WP1_75.TPKo",65,"32_36_16_9_4236.jpg","0-5%"
"pko.hbn.1a.65",36,17,1,"16-30%","Weak (+)","null","WP1_8.TPKo",65,"32_36_17_1_4335.jpg","16-39%"
"pko.hbn.1a.65",36,17,10,"5-15%","Moderate (++)","null","WP1_85.TPKo",65,"32_36_17_10_4221.jpg","5-15%"
"pko.hbn.1a.65",36,17,11,">0% and <5%","Strong (+++)","null","WP1_95.TPKo",65,"32_36_17_11_4206.jpg","0-5%"
"pko.hbn.1a.65",36,17,12,">0% and <5%","Strong (+++)","null","WP1_104.TPKo",65,"32_36_17_12_4190.jpg","0-5%"
"pko.hbn.1a.65",36,17,13,">0% and <5%","Weak (+)","null","WP1_114.TPKo",65,"32_36_17_13_4172.jpg","0-5%"
"pko.hbn.1a.65",36,17,2,"0%","Neg (-)","null","WP1_18.TPKo",65,"32_36_17_2_4320.jpg","0%"
"pko.hbn.1a.65",36,17,4,"0%","Neg (-)","null","WP1_38.TPKo",65,"32_36_17_4_4287.jpg","0%"
"pko.hbn.1a.65",36,17,5,">30%","Strong (+++)","null","WP1_47.TPKo",65,"32_36_17_5_4271.jpg","40-69%"
"pko.hbn.1a.65",36,17,6,"0%","Neg (-)","null","WP1_57.TPKo",65,"32_36_17_6_4258.jpg","0%"
"pko.hbn.1a.65",36,18,1,"0%","Neg (-)","null","WP1_9.TPKo",65,"32_36_18_1_4336.jpg","0%"
"pko.hbn.1a.65",36,18,10,"0%","Neg (-)","null","WP1_86.TPKo",65,"32_36_18_10_4217.jpg","0%"
"pko.hbn.1a.65",36,18,11,">0% and <5%","Strong (+++)","null","WP1_95.TPKo",65,"32_36_18_11_4378.jpg","0-5%"
"pko.hbn.1a.65",36,18,12,">0% and <5%","Strong (+++)","null","WP1_105.TPKo",65,"32_36_18_12_4187.jpg","0-5%"
"pko.hbn.1a.65",36,18,13,"5-15%","Moderate (++)","null","WP1_114.TPKo",65,"32_36_18_13_4169.jpg","5-15%"
"pko.hbn.1a.65",36,18,2,">0% and <5%","Weak (+)","null","WP1_19.TPKo",65,"32_36_18_2_4322.jpg","0-5%"
"pko.hbn.1a.65",36,18,3,">30%","Weak (+)","null","WP1_29.TPKo",65,"32_36_18_3_4302.jpg","40-69%"
"pko.hbn.1a.65",36,18,4,">0% and <5%","Weak (+)","null","WP1_38.TPKo",65,"32_36_18_4_4285.jpg","0-5%"
"pko.hbn.1a.65",36,18,5,"5-15%","Weak (+)","null","WP1_48.TPKo",65,"32_36_18_5_4270.jpg","5-15%"
"pko.hbn.1a.65",36,19,1,"0%","Neg (-)","null","WP1_9.TPKo",65,"32_36_19_1_4337.jpg","0%"
"pko.hbn.1a.65",36,19,10,">0% and <5%","Strong (+++)","null","WP1_86.TPKo",65,"32_36_19_10_4216.jpg","0-5%"
"pko.hbn.1a.65",36,19,2,"16-30%","Moderate (++)","null","WP1_19.TPKo",65,"32_36_19_2_4319.jpg","16-39%"
"pko.hbn.1a.65",36,19,3,"16-30%","Moderate (++)","null","WP1_29.TPKo",65,"32_36_19_3_4393.jpg","16-39%"
"pko.hbn.1a.65",36,19,4,">0% and <5%","Strong (+++)","null","WP1_39.TPKo",65,"32_36_19_4_4288.jpg","0-5%"
"pko.hbn.1a.65",36,19,6,">30%","Moderate (++)","null","WP1_58.TPKo",65,"32_36_19_6_4255.jpg","40-69%"
"pko.hbn.1a.65",36,19,9,">30%","Weak (+)","null","WP1_77.TPKo",65,"32_36_19_9_4234.jpg","40-69%"
"pko.hbn.1a.65",36,2,1,">30%","Weak (+)","null","WP1_1.TPKo",65,"32_36_2_1_4347.jpg","40-69%"
"pko.hbn.1a.65",36,2,11,">0% and <5%","Strong (+++)","null","WP1_88.TPKo",65,"32_36_2_11_4214.jpg","0-5%"
"pko.hbn.1a.65",36,2,12,">0% and <5%","Strong (+++)","null","WP1_97.TPKo",65,"32_36_2_12_4201.jpg","0-5%"
"pko.hbn.1a.65",36,2,13,"0%","Neg (-)","null","WP1_107.TPKo",65,"32_36_2_13_4185.jpg","0%"
"pko.hbn.1a.65",36,2,2,"5-15%","Moderate (++)","null","WP1_11.TPKo",65,"32_36_2_2_4334.jpg","5-15%"
"pko.hbn.1a.65",36,2,3,">30%","Moderate (++)","null","WP1_21.TPKo",65,"32_36_2_3_4317.jpg","40-69%"
"pko.hbn.1a.65",36,2,4,"5-15%","Weak (+)","null","WP1_31.TPKo",65,"32_36_2_4_4362.jpg","5-15%"
"pko.hbn.1a.65",36,2,5,">30%","Weak (+)","null","WP1_40.TPKo",65,"32_36_2_5_4284.jpg","40-69%"
"pko.hbn.1a.65",36,2,6,"5-15%","Moderate (++)","null","WP1_50.TPKo",65,"32_36_2_6_4268.jpg","5-15%"
"pko.hbn.1a.65",36,2,8,"16-30%","Moderate (++)","null","WP1_59.TPKo",65,"32_36_2_8_10563.jpg","16-39%"
"pko.hbn.1a.65",36,20,1,"16-30%","Moderate (++)","null","WP1_10.TPKo",65,"32_36_20_1_4395.jpg","16-39%"
"pko.hbn.1a.65",36,20,10,">0% and <5%","Strong (+++)","null","WP1_87.TPKo",65,"32_36_20_10_4218.jpg","0-5%"
"pko.hbn.1a.65",36,20,12,">0% and <5%","Strong (+++)","null","WP1_106.TPKo",65,"32_36_20_12_4191.jpg","0-5%"
"pko.hbn.1a.65",36,20,2,">0% and <5%","Weak (+)","null","WP1_20.TPKo",65,"32_36_20_2_4318.jpg","0-5%"
"pko.hbn.1a.65",36,20,4,">0% and <5%","Strong (+++)","null","WP1_39.TPKo",65,"32_36_20_4_4286.jpg","0-5%"
"pko.hbn.1a.65",36,20,5,"16-30%","Weak (+)","null","WP1_49.TPKo",65,"32_36_20_5_4269.jpg","16-39%"
"pko.hbn.1a.65",36,20,8,"5-15%","Weak (+)","null","WP1_68.TPKo",65,"32_36_20_8_4244.jpg","5-15%"
"pko.hbn.1a.65",36,21,1,"0%","Neg (-)","null","WP1_10.TPKo",65,"32_36_21_1_4331.jpg","0%"
"pko.hbn.1a.65",36,22,10,"16-30%","Weak (+)","null","WP1_119.TPKo",65,"32_36_22_10_4392.jpg","16-39%"
"pko.hbn.1a.65",36,22,11,"0%","Neg (-)","null","WP1_120.TPKo",65,"32_36_22_11_4207.jpg","0%"
"pko.hbn.1a.65",36,22,12,"0%","Neg (-)","null","WP1_121.TPKo",65,"32_36_22_12_4391.jpg","0%"
"pko.hbn.1a.65",36,22,13,">30%","Weak (+)","null","WP1_123.TPKo",65,"32_36_22_13_4386.jpg","40-69%"
"pko.hbn.1a.65",36,22,8,">30%","Moderate (++)","null","WP1_116.TPKo",65,"32_36_22_8_4247.jpg","40-69%"
"pko.hbn.1a.65",36,3,1,">0% and <5%","Strong (+++)","null","WP1_2.TPKo",65,"32_36_3_1_4346.jpg","0-5%"
"pko.hbn.1a.65",36,3,10,">30%","Moderate (++)","null","WP1_79.TPKo",65,"32_36_3_10_4230.jpg","40-69%"
"pko.hbn.1a.65",36,3,11,"0%","Neg (-)","null","WP1_88.TPKo",65,"32_36_3_11_4213.jpg","0%"
"pko.hbn.1a.65",36,3,13,">0% and <5%","Strong (+++)","null","WP1_107.TPKo",65,"32_36_3_13_4184.jpg","0-5%"
"pko.hbn.1a.65",36,3,2,"0%","Neg (-)","null","WP1_12.TPKo",65,"32_36_3_2_4364.jpg","0%"
"pko.hbn.1a.65",36,3,3,"16-30%","Weak (+)","null","WP1_22.TPKo",65,"32_36_3_3_4314.jpg","16-39%"
"pko.hbn.1a.65",36,3,4,"16-30%","Moderate (++)","null","WP1_31.TPKo",65,"32_36_3_4_4300.jpg","16-39%"
"pko.hbn.1a.65",36,3,5,"5-15%","Moderate (++)","null","WP1_41.TPKo",65,"32_36_3_5_4281.jpg","5-15%"
"pko.hbn.1a.65",36,3,8,">0% and <5%","Moderate (++)","null","WP1_60.TPKo",65,"32_36_3_8_4254.jpg","0-5%"
"pko.hbn.1a.65",36,3,9,"0%","Neg (-)","null","WP1_69.TPKo",65,"32_36_3_9_4242.jpg","0%"
"pko.hbn.1a.65",36,4,1,">0% and <5%","Moderate (++)","null","WP1_2.TPKo",65,"32_36_4_1_4412.jpg","0-5%"
"pko.hbn.1a.65",36,4,10,">30%","Weak (+)","null","WP1_79.TPKo",65,"32_36_4_10_4231.jpg","40-69%"
"pko.hbn.1a.65",36,4,11,">30%","Weak (+)","null","WP1_89.TPKo",65,"32_36_4_11_4211.jpg","40-69%"
"pko.hbn.1a.65",36,4,12,">0% and <5%","Strong (+++)","null","WP1_98.TPKo",65,"32_36_4_12_4200.jpg","0-5%"
"pko.hbn.1a.65",36,4,13,"5-15%","Moderate (++)","null","WP1_108.TPKo",65,"32_36_4_13_4183.jpg","5-15%"
"pko.hbn.1a.65",36,4,2,"5-15%","Weak (+)","null","WP1_12.TPKo",65,"32_36_4_2_4332.jpg","5-15%"
"pko.hbn.1a.65",36,4,3,"0%","Neg (-)","null","WP1_22.TPKo",65,"32_36_4_3_4315.jpg","0%"
"pko.hbn.1a.65",36,4,4,">0% and <5%","Strong (+++)","null","WP1_32.TPKo",65,"32_36_4_4_4299.jpg","0-5%"
"pko.hbn.1a.65",36,4,6,">30%","Weak (+)","null","WP1_51.TPKo",65,"32_36_4_6_4265.jpg","40-69%"
"pko.hbn.1a.65",36,4,8,">0% and <5%","Strong (+++)","null","WP1_60.TPKo",65,"32_36_4_8_4253.jpg","0-5%"
"pko.hbn.1a.65",36,5,10,">30%","Weak (+)","null","WP1_80.TPKo",65,"32_36_5_10_4232.jpg","40-69%"
"pko.hbn.1a.65",36,5,11,">30%","Weak (+)","null","WP1_89.TPKo",65,"32_36_5_11_4210.jpg","40-69%"
"pko.hbn.1a.65",36,5,2,">0% and <5%","Moderate (++)","null","WP1_13.TPKo",65,"32_36_5_2_4329.jpg","0-5%"
"pko.hbn.1a.65",36,5,3,">0% and <5%","Strong (+++)","null","WP1_23.TPKo",65,"32_36_5_3_4313.jpg","0-5%"
"pko.hbn.1a.65",36,5,4,">0% and <5%","Strong (+++)","null","WP1_32.TPKo",65,"32_36_5_4_4298.jpg","0-5%"
"pko.hbn.1a.65",36,5,6,">30%","Weak (+)","null","WP1_51.TPKo",65,"32_36_5_6_4264.jpg","40-69%"
"pko.hbn.1a.65",36,6,10,">0% and <5%","Strong (+++)","null","WP1_80.TPKo",65,"32_36_6_10_4226.jpg","0-5%"
"pko.hbn.1a.65",36,6,11,"0%","Neg (-)","null","WP1_90.TPKo",65,"32_36_6_11_4212.jpg","0%"
"pko.hbn.1a.65",36,6,2,">0% and <5%","Strong (+++)","null","WP1_13.TPKo",65,"32_36_6_2_4328.jpg","0-5%"
"pko.hbn.1a.65",36,6,3,">0% and <5%","Strong (+++)","null","WP1_23.TPKo",65,"32_36_6_3_4312.jpg","0-5%"
"pko.hbn.1a.65",36,6,4,"16-30%","Moderate (++)","null","WP1_33.TPKo",65,"32_36_6_4_4297.jpg","16-39%"
"pko.hbn.1a.65",36,6,5,">0% and <5%","Strong (+++)","null","WP1_42.TPKo",65,"32_36_6_5_4279.jpg","0-5%"
"pko.hbn.1a.65",36,6,6,"0%","Neg (-)","null","WP1_52.TPKo",65,"32_36_6_6_4263.jpg","0%"
"pko.hbn.1a.65",36,6,9,">30%","Moderate (++)","null","WP1_71.TPKo",65,"32_36_6_9_4359.jpg","40-69%"
"pko.hbn.1a.65",36,7,10,"5-15%","Strong (+++)","null","WP1_81.TPKo",65,"32_36_7_10_4227.jpg","5-15%"
"pko.hbn.1a.65",36,7,11,">30%","Weak (+)","null","WP1_90.TPKo",65,"32_36_7_11_4355.jpg","40-69%"
"pko.hbn.1a.65",36,7,12,">30%","Weak (+)","null","WP1_100.TPKo",65,"32_36_7_12_4354.jpg","40-69%"
"pko.hbn.1a.65",36,7,2,">0% and <5%","Weak (+)","null","WP1_14.TPKo",65,"32_36_7_2_4330.jpg","0-5%"
"pko.hbn.1a.65",36,7,3,">0% and <5%","Strong (+++)","null","WP1_24.TPKo",65,"32_36_7_3_4309.jpg","0-5%"
"pko.hbn.1a.65",36,7,4,"16-30%","Moderate (++)","null","WP1_33.TPKo",65,"32_36_7_4_4294.jpg","16-39%"
"pko.hbn.1a.65",36,7,5,"0%","Neg (-)","null","WP1_43.TPKo",65,"32_36_7_5_4277.jpg","0%"
"pko.hbn.1a.65",36,7,6,">30%","Weak (+)","null","WP1_52.TPKo",65,"32_36_7_6_4262.jpg","40-69%"
"pko.hbn.1a.65",36,7,8,"5-15%","Strong (+++)","null","WP1_62.TPKo",65,"32_36_7_8_4252.jpg","5-15%"
"pko.hbn.1a.65",36,7,9,">30%","Weak (+)","null","WP1_71.TPKo",65,"32_36_7_9_4240.jpg","40-69%"
"pko.hbn.1a.65",36,8,10,">0% and <5%","Strong (+++)","null","WP1_81.TPKo",65,"32_36_8_10_4228.jpg","0-5%"
"pko.hbn.1a.65",36,8,12,">30%","Moderate (++)","null","WP1_100.TPKo",65,"32_36_8_12_4198.jpg","40-69%"
"pko.hbn.1a.65",36,8,13,"5-15%","Moderate (++)","null","WP1_110.TPKo",65,"32_36_8_13_4179.jpg","5-15%"
"pko.hbn.1a.65",36,8,3,">0% and <5%","Moderate (++)","null","WP1_24.TPKo",65,"32_36_8_3_4310.jpg","0-5%"
"pko.hbn.1a.65",36,8,4,"0%","Neg (-)","null","WP1_34.TPKo",65,"32_36_8_4_4295.jpg","0%"
"pko.hbn.1a.65",36,8,5,">30%","Weak (+)","null","WP1_43.TPKo",65,"32_36_8_5_4276.jpg","40-69%"
"pko.hbn.1a.65",36,8,6,">30%","Moderate (++)","null","WP1_53.TPKo",65,"32_36_8_6_4260.jpg","40-69%"
"pko.hbn.1a.65",36,8,8,">0% and <5%","Strong (+++)","null","WP1_62.TPKo",65,"32_36_8_8_4250.jpg","0-5%"
"pko.hbn.1a.65",36,9,1,">0% and <5%","Strong (+++)","null","WP1_5.TPKo",65,"32_36_9_1_4344.jpg","0-5%"
"pko.hbn.1a.65",36,9,12,">0% and <5%","Strong (+++)","null","WP1_101.TPKo",65,"32_36_9_12_4193.jpg","0-5%"
"pko.hbn.1a.65",36,9,13,">0% and <5%","Strong (+++)","null","WP1_110.TPKo",65,"32_36_9_13_4173.jpg","0-5%"
"pko.hbn.1a.65",36,9,2,"0%","Neg (-)","null","WP1_15.TPKo",65,"32_36_9_2_4326.jpg","0%"
"pko.hbn.1a.65",36,9,3,"5-15%","Moderate (++)","null","WP1_25.TPKo",65,"32_36_9_3_4311.jpg","5-15%"
"pko.hbn.1a.65",36,9,4,"0%","Neg (-)","null","WP1_34.TPKo",65,"32_36_9_4_4296.jpg","0%"
"pko.hbn.1a.65",36,9,5,">30%","Weak (+)","null","WP1_44.TPKo",65,"32_36_9_5_4278.jpg","40-69%"
"pko.hbn.1a.65",36,9,8,">0% and <5%","Moderate (++)","null","WP1_63.TPKo",65,"32_36_9_8_4251.jpg","0-5%"
"pko.hbn.1a.65",36,9,9,"16-30%","Weak (+)","null","WP1_72.TPKo",65,"32_36_9_9_4238.jpg","16-39%"
"pko.hbn.1a.59",36,1,1,"10-39%","Weak (+)","null","WP1_1.TPKo",59,"16_36_1_1_805.jpg","16-39%"
"pko.hbn.1a.59",36,1,11,"70-100%","Moderate (++)","null","WP1_87.TPKo",59,"16_36_1_11_652.jpg","70-100%"
"pko.hbn.1a.59",36,1,13,"70-100%","Strong (+++)","null","WP1_106.TPKo",59,"16_36_1_13_616.jpg","70-100%"
"pko.hbn.1a.59",36,1,4,"70-100%","Moderate (++)","null","WP1_30.TPKo",59,"16_36_1_4_830.jpg","70-100%"
"pko.hbn.1a.59",36,1,5,"40-69%","Moderate (++)","null","WP1_40.TPKo",59,"16_36_1_5_730.jpg","40-69%"
"pko.hbn.1a.59",36,1,6,"40-69%","Moderate (++)","null","WP1_49.TPKo",59,"16_36_1_6_712.jpg","40-69%"
"pko.hbn.1a.59",36,1,8,"70-100%","Moderate (++)","null","WP1_59.TPKo",59,"16_36_1_8_696.jpg","70-100%"
"pko.hbn.1a.59",36,1,9,"40-69%","Weak (+)","null","WP1_68.TPKo",59,"16_36_1_9_683.jpg","40-69%"
"pko.hbn.1a.59",36,10,1,"70-100%","Moderate (++)","null","WP1_5.TPKo",59,"16_36_10_1_812.jpg","70-100%"
"pko.hbn.1a.59",36,10,10,"70-100%","Moderate (++)","null","WP1_82.TPKo",59,"16_36_10_10_672.jpg","70-100%"
"pko.hbn.1a.59",36,10,11,"70-100%","Strong (+++)","null","WP1_92.TPKo",59,"16_36_10_11_655.jpg","70-100%"
"pko.hbn.1a.59",36,10,12,"70-100%","Strong (+++)","null","WP1_101.TPKo",59,"16_36_10_12_635.jpg","70-100%"
"pko.hbn.1a.59",36,10,13,"70-100%","Strong (+++)","null","WP1_111.TPKo",59,"16_36_10_13_615.jpg","70-100%"
"pko.hbn.1a.59",36,10,2,"70-100%","Moderate (++)","null","WP1_15.TPKo",59,"16_36_10_2_794.jpg","70-100%"
"pko.hbn.1a.59",36,10,3,"10-39%","Moderate (++)","null","WP1_25.TPKo",59,"16_36_10_3_775.jpg","16-39%"
"pko.hbn.1a.59",36,10,4,"70-100%","Strong (+++)","null","WP1_35.TPKo",59,"16_36_10_4_757.jpg","70-100%"
"pko.hbn.1a.59",36,10,5,"70-100%","Moderate (++)","null","WP1_44.TPKo",59,"16_36_10_5_739.jpg","70-100%"
"pko.hbn.1a.59",36,10,8,"1-9%","Strong (+++)","null","WP1_63.TPKo",59,"16_36_10_8_705.jpg","5-15%"
"pko.hbn.1a.59",36,10,9,"70-100%","Strong (+++)","null","WP1_73.TPKo",59,"16_36_10_9_690.jpg","70-100%"
"pko.hbn.1a.59",36,11,1,"40-69%","Moderate (++)","null","WP1_6.TPKo",59,"16_36_11_1_810.jpg","40-69%"
"pko.hbn.1a.59",36,11,10,"70-100%","Strong (+++)","null","WP1_83.TPKo",59,"16_36_11_10_674.jpg","70-100%"
"pko.hbn.1a.59",36,11,11,"70-100%","Strong (+++)","null","WP1_92.TPKo",59,"16_36_11_11_656.jpg","70-100%"
"pko.hbn.1a.59",36,11,12,"40-69%","Strong (+++)","null","WP1_102.TPKo",59,"16_36_11_12_636.jpg","40-69%"
"pko.hbn.1a.59",36,11,13,"70-100%","Strong (+++)","null","WP1_111.TPKo",59,"16_36_11_13_617.jpg","70-100%"
"pko.hbn.1a.59",36,11,4,"70-100%","Strong (+++)","null","WP1_35.TPKo",59,"16_36_11_4_758.jpg","70-100%"
"pko.hbn.1a.59",36,11,5,"70-100%","Strong (+++)","null","WP1_45.TPKo",59,"16_36_11_5_738.jpg","70-100%"
"pko.hbn.1a.59",36,11,8,"70-100%","Moderate (++)","null","WP1_64.TPKo",59,"16_36_11_8_704.jpg","70-100%"
"pko.hbn.1a.59",36,12,1,"70-100%","Moderate (++)","null","WP1_6.TPKo",59,"16_36_12_1_813.jpg","70-100%"
"pko.hbn.1a.59",36,12,10,"70-100%","Strong (+++)","null","WP1_83.TPKo",59,"16_36_12_10_673.jpg","70-100%"
"pko.hbn.1a.59",36,12,12,"70-100%","Strong (+++)","null","WP1_102.TPKo",59,"16_36_12_12_638.jpg","70-100%"
"pko.hbn.1a.59",36,12,13,"40-69%","Moderate (++)","null","WP1_112.TPKo",59,"16_36_12_13_620.jpg","40-69%"
"pko.hbn.1a.59",36,12,3,"70-100%","Moderate (++)","null","WP1_26.TPKo",59,"16_36_12_3_780.jpg","70-100%"
"pko.hbn.1a.59",36,12,4,"70-100%","Moderate (++)","null","WP1_36.TPKo",59,"16_36_12_4_759.jpg","70-100%"
"pko.hbn.1a.59",36,12,5,"70-100%","Strong (+++)","null","WP1_45.TPKo",59,"16_36_12_5_740.jpg","70-100%"
"pko.hbn.1a.59",36,12,8,"70-100%","Moderate (++)","null","WP1_64.TPKo",59,"16_36_12_8_702.jpg","70-100%"
"pko.hbn.1a.59",36,12,9,"70-100%","Strong (+++)","null","WP1_74.TPKo",59,"16_36_12_9_689.jpg","70-100%"
"pko.hbn.1a.59",36,14,10,"70-100%","Moderate (++)","null","WP1_84.TPKo",59,"16_36_14_10_675.jpg","70-100%"
"pko.hbn.1a.59",36,14,11,"70-100%","Moderate (++)","null","WP1_93.TPKo",59,"16_36_14_11_657.jpg","70-100%"
"pko.hbn.1a.59",36,14,12,"10-39%","Moderate (++)","null","WP1_103.TPKo",59,"16_36_14_12_639.jpg","16-39%"
"pko.hbn.1a.59",36,14,13,"70-100%","Moderate (++)","null","WP1_112.TPKo",59,"16_36_14_13_621.jpg","70-100%"
"pko.hbn.1a.59",36,14,2,"70-100%","Strong (+++)","null","WP1_17.TPKo",59,"16_36_14_2_796.jpg","70-100%"
"pko.hbn.1a.59",36,14,3,"70-100%","Moderate (++)","null","WP1_27.TPKo",59,"16_36_14_3_777.jpg","70-100%"
"pko.hbn.1a.59",36,14,4,"70-100%","Strong (+++)","null","WP1_36.TPKo",59,"16_36_14_4_760.jpg","70-100%"
"pko.hbn.1a.59",36,14,8,"10-39%","Moderate (++)","null","WP1_65.TPKo",59,"16_36_14_8_706.jpg","16-39%"
"pko.hbn.1a.59",36,15,11,"70-100%","Moderate (++)","null","WP1_94.TPKo",59,"16_36_15_11_658.jpg","70-100%"
"pko.hbn.1a.59",36,15,12,"40-69%","Moderate (++)","null","WP1_103.TPKo",59,"16_36_15_12_637.jpg","40-69%"
"pko.hbn.1a.59",36,15,2,"70-100%","Strong (+++)","null","WP1_17.TPKo",59,"16_36_15_2_797.jpg","70-100%"
"pko.hbn.1a.59",36,15,3,"70-100%","Moderate (++)","null","WP1_27.TPKo",59,"16_36_15_3_781.jpg","70-100%"
"pko.hbn.1a.59",36,15,4,"70-100%","Strong (+++)","null","WP1_37.TPKo",59,"16_36_15_4_761.jpg","70-100%"
"pko.hbn.1a.59",36,15,8,"10-39%","Moderate (++)","null","WP1_65.TPKo",59,"16_36_15_8_707.jpg","16-39%"
"pko.hbn.1a.59",36,16,11,"70-100%","Moderate (++)","null","WP1_94.TPKo",59,"16_36_16_11_659.jpg","70-100%"
"pko.hbn.1a.59",36,16,3,"70-100%","Strong (+++)","null","WP1_28.TPKo",59,"16_36_16_3_782.jpg","70-100%"
