"slidemap","matrix","x","y","positive_tumor_cells","staining_intensity","spot_quality","sample_predect","abcode","pic","positive_tumor_cells_new"
"pko.hbn.1a.40",36,15,12,">0% and <5%","Strong (+++)","null","WP1_103.TPKo",40,"75_36_15_12_3465.jpg","0-5%"
"pko.hbn.1a.40",36,15,13,">0% and <5%","Strong (+++)","null","WP1_113.TPKo",40,"75_36_15_13_3445.jpg","0-5%"
"pko.hbn.1a.40",36,15,2,"5-15%","Strong (+++)","null","WP1_17.TPKo",40,"75_36_15_2_3625.jpg","5-15%"
"pko.hbn.1a.40",36,15,3,">0% and <5%","Strong (+++)","null","WP1_27.TPKo",40,"75_36_15_3_3607.jpg","0-5%"
"pko.hbn.1a.40",36,15,4,">30%","Strong (+++)","null","WP1_37.TPKo",40,"75_36_15_4_3587.jpg","40-69%"
"pko.hbn.1a.40",36,15,9,">30%","Strong (+++)","null","WP1_75.TPKo",40,"75_36_15_9_3519.jpg","40-69%"
"pko.hbn.1a.40",36,16,1,">0% and <5%","Moderate (++)","null","WP1_8.TPKo",40,"75_36_16_1_3644.jpg","0-5%"
"pko.hbn.1a.40",36,16,10,">30%","Strong (+++)","null","WP1_85.TPKo",40,"75_36_16_10_3507.jpg","40-69%"
"pko.hbn.1a.40",36,16,11,"5-15%","Strong (+++)","null","WP1_94.TPKo",40,"75_36_16_11_3490.jpg","5-15%"
"pko.hbn.1a.40",36,16,12,"5-15%","Strong (+++)","null","WP1_104.TPKo",40,"75_36_16_12_3472.jpg","5-15%"
"pko.hbn.1a.40",36,16,13,"16-30%","Moderate (++)","null","WP1_113.TPKo",40,"75_36_16_13_3448.jpg","16-39%"
"pko.hbn.1a.40",36,16,2,">30%","Moderate (++)","null","WP1_18.TPKo",40,"75_36_16_2_3627.jpg","40-69%"
"pko.hbn.1a.40",36,16,3,"5-15%","Moderate (++)","null","WP1_28.TPKo",40,"75_36_16_3_3610.jpg","5-15%"
"pko.hbn.1a.40",36,16,4,"16-30%","Strong (+++)","null","WP1_37.TPKo",40,"75_36_16_4_3591.jpg","16-39%"
"pko.hbn.1a.40",36,16,8,">0% and <5%","Strong (+++)","null","WP1_66.TPKo",40,"75_36_16_8_3537.jpg","0-5%"
"pko.hbn.1a.40",36,16,9,">30%","Strong (+++)","null","WP1_75.TPKo",40,"75_36_16_9_3520.jpg","40-69%"
"pko.hbn.1a.40",36,17,1,"16-30%","Moderate (++)","null","WP1_8.TPKo",40,"75_36_17_1_3642.jpg","16-39%"
"pko.hbn.1a.40",36,17,10,">30%","Strong (+++)","null","WP1_85.TPKo",40,"75_36_17_10_3508.jpg","40-69%"
"pko.hbn.1a.40",36,17,11,">30%","Moderate (++)","null","WP1_95.TPKo",40,"75_36_17_11_3491.jpg","40-69%"
"pko.hbn.1a.40",36,17,12,"16-30%","Strong (+++)","null","WP1_104.TPKo",40,"75_36_17_12_3473.jpg","16-39%"
"pko.hbn.1a.40",36,17,13,"0%","Neg (-)","Not representative","WP1_114.TPKo",40,"75_36_17_13_3451.jpg","0%"
"pko.hbn.1a.40",36,17,4,"16-30%","Strong (+++)","null","WP1_38.TPKo",40,"75_36_17_4_3588.jpg","16-39%"
"pko.hbn.1a.40",36,17,5,"5-15%","Moderate (++)","null","WP1_47.TPKo",40,"75_36_17_5_3573.jpg","5-15%"
"pko.hbn.1a.40",36,17,6,"5-15%","Strong (+++)","null","WP1_57.TPKo",40,"75_36_17_6_3556.jpg","5-15%"
"pko.hbn.1a.40",36,18,1,">0% and <5%","Strong (+++)","null","WP1_9.TPKo",40,"75_36_18_1_3645.jpg","0-5%"
